Species,Sequence,name_phylogeny,min,max
Scytalopus_magellanicus,magellanicus_KU_11691_RioNegroARG,magellanicus,0,3500
Scytalopus_altirostris,altirostris_LSU_43813_SanMartinPER,altirostris,2900,3700
Scytalopus_affinis,affinis_ZMUC_125154,affinis,3000,4600
Scytalopus_urubambae,urubambae_ZMUC,urubambae,3500,4200
Scytalopus_simonsi,simonsi_KU_21363_PunoPER,simosi,3000,4150
Scytalopus_zimmeri,zimmeri_ZMUC_126277,zimmeri,1700,3200
Scytalopus_superciliaris,superciliaris_santabarbarae_KU_9709_JujuyARG,superciliaris,1500,3350
Scytalopus_fuscus,fuscus_AMNH_RTC_392_ChacabucoCHIL,fuscus,0,800
Scytalopus_canus,canus_ZMUC_134903_AntioquiaCOL,canus,3300,3800
Scytalopus_opacus,opacus_opacus_ZMUC_125150_MoronaECU,opacus_opacus,3000,3800
Scytalopus_opacus,opacus_androstictus_ZMUC_125688_ZamoraECU,opacus_androstictus,3000,3650
Scytalopus_schulenbergi,schulenbergi_LSU_1278_LaPazBOL,schulenbergi,2975,3400
Scytalopus_Ampay,sp_nov_LSU_58462_ApurimacPER,sp_Ampay,3450,4200
Scytalopus_Millpo,sp_nov_LSU_8381_Millpo_HuanucoPascoPER,sp_Millpo,3450,4220
Scytalopus_speluncae,speluncae_MCP1737,speluncae,600,2870
Scytallopus_gonzagai,gonzagai_MCP2006_MorroIngles_BahiaBR,gonzagai,660,1140
Scytalopus_petrophilus,petrophilus_MCP_2215,petrophilus,900,2100
Scytalopus_diamantinensis,diamantinensis_s126,diamantinensis,850,1600
Scytalopus_pachecoi,pachecoi_MCP994,pachecoi,10,1500
Scytalopus_iraiensis,iraiensis_MCP957,iraiensis,730,1850
Scytalopus_novacapitalis,novacapitalis_MZUSP78807,novacapitalis,800,1000
Scytalopus_parvirostris,parvirostris_LSU_1292_LaPazBOL,parvirostris_La_Paz,2000,3250
Scytalopus_parvirostris,parvirostris_FMNH390670_JuninPER,parvirostris_Junin,2050,3350
Scytalopus_panamensis,panamensis_JEA1019_TakarkunaCOL,panamensis,1050,1500
Scytalopus_chocoensis,chocoensis_ZMUC_126137,chocoensis,250,1465
Scytalopus_rodriguezi,rodriguezi_rodriguezi_ZMUC_131300_HuilaCOL,rodriguezi_rodriguezi,2000,2300
Scytalopus_rodriguezi,rodriguezi_yariguiorum_ICN_35821_SantCOL,rodriguezi_yariguiorum,1700,2200
Scytalopus_stilesi,stilesi_AMC530_AntioquiaCOL,stilesi,1420,2130
Scytalopus_robbinsi,robbinsi_ZMUC_125057_ECU,robbinsi,700,1250
Scytalopus_vicinior,vicinior_IAvH_BT3579_CaucaCOL,vicinior,1250,2000
Scytalopus_latebricola,latebricola_CDC82_StaMartaCOL,latebricola,2000,3660
Scytalopus_meridanus,meridanus_AMC1152_TachiraVEN,meridanus_meridanus,1600,3600
Scytalopus_meridanus,meridanus_JM205_TrujilloVEN,meridanus_fuscicauda,2500,3200
Scytalopus_argentifrons,argentifrons_72026_CR,argentifrons,1000,3000
Scytalopus_caracae,caracae_COP_IC1209,caracae,1200,2400
Scytalopus_spillmanni,spillmanni_ZMUC_125080,spillmanni,1900,3700
Scytalopus_parkeri,parkeri_LSU_390_CajamarcaPER,parkeri,2250,3350
Scytalopus_griseicollis,griseicollis_IAvH_BT2583_CundCOL,griseicollis_griseicollis,2600,3900
Scytalopus_griseicollis,griseicollis_gilesi_ICN_35605_SantCOL,griseicollis_gilesi,2500,3200
Scytalopus_griseicollis,griseicollis_morenoi_AMC912_NorteCOL,griseicollis_morenoi,2000,3900
Scytalopus_alvarezlopezi,alvarezlopezi_ICN_39110_Tatama_RisCOL,alvarezlopezi,1300,1750
Scytalopus_perijanus,perijanus_JEAC693_PerijaCOL,perijanus,1600,3225
Scytalopus_sanctaemartae,sanctaemartae_CDC_087_StaMartaCOL,sanctaemartae,900,1700
Scytalopus_atratus,atratus_nigricans_AMC1334_TachiraVEN,atratus_nigricans,1150,1900
Scytalopus_atratus,atratus_LSU_40214_LoretoPER,atratus_Loreto,1300,1500
Scytalopus_atratus,atratus_LSU_5534_SanMartinPER,atratus_San_Martin,1125,1800
Scytalopus_atratus,atratus_KU_18776_CuscoPER,atratus_Cusco_&_Junin,1100,1900
Scytalopus_bolivianus,bolivianus_KU_21456_PunoPER,bolivianus,1000,2300
Scytalopus_latrans,latrans_IAvH_BT5193_Frontino2AntCOL,latrans,1500,4000
Scytalopus_latrans,latrans_intermedius_LSU_49704_AmazonasPER,latrans_intermedius,2620,3200
Scytalopus_unicolor,unicolor_MSB_35157,unicolor,2400,3400
Scytalopus_macropus,macropus_KU_14812_JuninPER,macropus,2400,3500
Scytalopus_micropterus,micropterus_IAvH_BT2306_PalestinaHuiCOL,micropterus,1250,2300
Scytalopus_femoralis,femoralis_LSU_1600_PascoPER,femoralis,1000,2600
Scytalopus_acutirostris,acutirostris_LSU_49668_JuninPER,acutirostris,2500,3700
Scytalopus_gettyae,gettyae_KU_14815_JX456471_JuninPER,gettyae,2400,3200
Scytalopus_Lambayeque,sp_NK_162582_LambayequePER,sp_Lambayeque,3000,3400